3pl_id,min_monthly_volume,max_monthly_volume,average_shipping_time_days,dock_to_stock_hours,max_daily_orders,picking_accuracy_pct,available_storage_sqft,temp_controlled_storage,headquarters_state,num_warehouses,service_coverage,covered_states,tech_Shopify,tech_WooCommerce,tech_Amazon,tech_NetSuite,tech_Etsy,tech_Magento,service_Pick and Pack,service_Returns,service_Kitting,service_FBA Prep,service_Custom Packaging,service_Inventory Management,service_B2B Fulfillment,service_International Shipping,specialty_Fragile Items,specialty_Heavy Goods,specialty_High SKU Count,specialty_Perishables
1,225,1763,1,9,360,84.97,12439,0,FL,4,Regional,FL;WA;TX;VA,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0
2,98,12908,3,5,435,94.25,17574,0,TX,6,National,TX;OH;TN;PA;WA;MI;IL,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0
3,221,7688,3,8,14178,97.88,29467,0,FL,6,Regional,VA;IL;WA;TN,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0
4,119,3673,5,9,580,97.46,3103,1,TX,8,National,TN;VA;GA;FL;IL;WA;NY;MA;PA;AZ,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0
5,874,1748,1,6,1364,95.06,5729,0,IL,5,National,PA;TX;IL;OH;FL;GA;CA;AZ;MI;MA;WA;NC,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0
6,743,8358,5,6,454,95.58,55897,0,TX,8,National,FL;IL;NC;MI;OH;NY;AZ;WA;PA;TN;GA,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0
7,337,1977,4,9,891,91.05,71662,0,IL,3,National,TN;MI;MA;GA;NY;WA;OH;VA;CA;NC;AZ;FL,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0
8,1878,3756,5,8,446,87.96,105307,0,CA,9,National,TX;AZ;NY;FL;OH;GA;MI,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
9,995,3038,5,6,736,93.19,12907,0,FL,1,National,MI;GA;NC;AZ;FL;CA;WA,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0
10,560,1755,4,9,245,95.0,36800,0,FL,8,National,TN;AZ;TX;CA;GA;MI;MA;NC;IL,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0
11,1441,2882,2,6,4323,96.54,1548,1,CA,2,International,IL;TN;MI;NY;PA;WA;MA;GA;FL;CA;VA;AZ;TX,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1
12,480,3856,3,13,1549,96.51,20446,1,CA,6,Regional,VA;NY;TN;TX,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
