business_id,sku_count,shipping_volume,order_speed_expectation,business_type,target_market,city,state,country,log_avg_order_value,daily_order_variance,return_rate_pct,avg_sku_turnover_days,top_shipping_regions,temperature_control_needed,avg_package_weight_kg,dimensional_weight_class,year_founded,business_age_yrs,growth_velocity_pct,industry_Fashion,industry_Electronics,industry_Health,industry_Beauty,industry_Home Goods,industry_Food & Beverage,industry_Consumer Packaged Goods,growth_Stable,growth_Growing,growth_Explosive,growth_Seasonal,tech_Shopify,tech_WooCommerce,tech_Amazon,tech_NetSuite,tech_Etsy,tech_Magento,service_Pick and Pack,service_Returns,service_Kitting,service_FBA Prep,service_Subscription Box Fulfillment,service_Same-Day Shipping,service_Custom Packaging,service_Freight Forwarding,service_Inventory Management,service_B2B Fulfillment,service_International Shipping,specialty_Fragile Items,specialty_Heavy Goods,specialty_High SKU Count,specialty_Perishables,specialty_Same Day Delivery
1,152,15128,6,B2C,National,New Brittanystad,KS,USA,25.748003149373172,6.87076069427468,6.572700877450186,22.457317707796285,NY:0.98;NC:0.02,frozen,7.467164072348921,bulky,2014,11,5.526534425888068,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
2,613,29939,3,Hybrid,International,Nicoleport,IA,USA,15.447004428328247,3.5152917441664404,6.754080638808817,10.91840176352419,TX:0.24;PA:0.32;NC:0.43,refrigerated,2.9081821774146146,parcel,2014,11,3.6241722119058517,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
3,954,8680,4,Hybrid,International,Griffintown,OH,USA,21.351234982415836,2.01782495001068,12.737506843430207,19.97738952150103,TX:0.01;NY:0.88;MI:0.11,none,0.9439227687428388,parcel,2007,18,29.640940206036376,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
4,373,24760,2,Hybrid,National,Davidmouth,HI,USA,36.48203188077405,11.71595937613355,37.23486144871981,10.661960509994143,CA:0.70;NY:0.17;MI:0.13,none,3.758740656037988,letter,2020,5,6.094939640652083,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
5,907,37670,6,B2B,Local,Harrisville,IN,USA,26.871369725881856,19.11056671138909,10.480767844741177,16.58220785945618,NC:0.12;MI:0.13;IL:0.42;PA:0.33,refrigerated,2.2576874187182225,parcel,2013,12,8.853545608565774,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
6,515,33892,1,B2B,Regional,Jonesfurt,FL,USA,14.547804993698547,11.77354737721097,64.88199737054381,27.903747582213995,MI:0.10;GA:0.03;IL:0.87,none,6.709554065818147,parcel,2012,13,7.459587856198229,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
7,778,35690,3,Hybrid,Local,Gillespiemouth,UT,USA,42.05368525325122,2.2909416022471705,17.70010536097212,24.5467468095324,NC:0.34;NY:0.27;FL:0.03;GA:0.36,none,8.65542812413821,bulky,2019,6,6.330351265380772,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1
8,124,1776,3,Hybrid,National,Jacquelinestad,NY,USA,28.122297060395773,4.208701979708143,33.84966915715114,23.062482835850556,GA:0.03;TX:0.11;FL:0.75;NC:0.10,none,1.0585956714897689,bulky,2016,9,14.909213377396291,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,783,35843,6,B2B,International,Waltersberg,IN,USA,7.695335702156365,4.1845897680963535,21.630136397198033,24.315199284554605,NY:0.64;TX:0.36,none,2.0979724015936596,bulky,2005,20,10.84439568001948,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
10,734,5152,6,Hybrid,Regional,Sarahberg,AL,USA,11.303401648437948,3.6195465085412675,19.0170040018298,35.05542223082747,GA:0.04;NY:0.79;FL:0.17,none,3.0031188493393834,parcel,2018,7,5.7446108563087135,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
